avg_rate,bayesaverage,category,classificationtype,family,geek_rate,id,maxplayers,maxplaytime,mechanism,minage,minplayers,minplaytime,num_votes,playingtime,title,type,usersrated,yearpublished
7.04,6.71568,"Medieval,Territory Building",Strategy,,6.716,5737,4,60,"Area Enclosure,Hand Management,Modular Board",12,2,60,3887,60,Domaine,boardgame,3887,2003
7.16,6.71551,"Ancient,Card Game",Strategy,"AEG: Pocket Game,Country: Egypt",6.716,150999,4,45,"Deck / Pool Building,Hand Management,Set Collection",14,2,45,2703,45,Valley of the Kings,boardgame,2703,2014
7.16,6.71259,"Action / Dexterity,Adventure,Fantasy,Fighting",Thematic,"Catacombs,Crowdfunding: Kickstarter,Finger Flicking Games",6.713,57390,5,90,"Partnerships,Player Elimination,Role Playing,Variable Player Powers",12,2,30,2745,90,Catacombs,boardgame,2745,2010
7.56,6.71202,"Dice,Renaissance",Strategy,Country: Italy,6.712,177678,4,120,"Dice Rolling,Set Collection,Worker Placement",12,2,90,1391,120,Signorie,boardgame,1391,2015
7.11,6.71028,"Nautical,Pirates,Transportation",Family,,6.710,157403,4,60,"Area Movement,Pick-up and Deliver,Variable Player Powers",14,3,60,3102,60,Black Fleet,boardgame,3102,2014
7.77,6.70939,Fantasy,Strategy,,6.709,206718,6,60,"Area Control / Area Influence,Card Drafting,Set Collection",14,2,45,1132,60,Ethnos,boardgame,1132,2017
7.34,6.70887,,Family,"Country: Japan,Visual Arts: Painting",6.709,200147,4,45,"Card Drafting,Pattern Building,Press Your Luck,Set Collection,Worker Placement",10,2,45,1961,45,Kanagawa,boardgame,1961,2016
7.30,6.70824,"Napoleonic,Wargame",Wargames,,6.708,17396,2,60,"Campaign / Battle Card Driven,Dice Rolling,Grid Movement,Hand Management,Modular Board,Variable Player Powers",10,2,60,2025,60,Manoeuvre,boardgame,2025,2008
7.10,6.70346,"Civilization,Exploration,Mythology,Territory Building","Family, Strategy","Crowdfunding: Kickstarter,Eight-Minute Empire",6.703,142326,4,32,"Area Control / Area Influence,Area Movement,Card Drafting,Modular Board,Set Collection,Variable Player Powers",13,2,16,3036,32,Eight-Minute Empire: Legends,boardgame,3036,2013
6.86,6.70197,"Adventure,Bluffing,Exploration",Family,"Archaeology,Country: Peru,Gryphon Games bookshelf series",6.702,37759,8,20,"Press Your Luck,Simultaneous Action Selection",8,3,20,8040,20,Incan Gold,boardgame,8040,2006
7.08,6.70119,Mythology,"Strategy, Thematic","Admin: Better Description Needed!,Solitaire Games,Vikings",6.701,71671,6,90,"Action Point Allowance System,Co-operative Play,Dice Rolling,Set Collection,Variable Player Powers",13,1,90,3120,90,Yggdrasil,boardgame,3120,2011
7.10,6.69933,"City Building,Medieval",Strategy,Key-series,6.699,4099,5,90,"Auction/Bidding,Modular Board,Set Collection,Tile Placement,Worker Placement",8,2,60,2810,90,Keythedral,boardgame,2810,2002
6.97,6.69927,"Card Game,City Building,Economic,Medieval",Strategy,"Caylus,Ystari originals",6.699,27364,4,75,"Hand Management,Worker Placement",10,2,45,4436,75,Caylus Magna Carta,boardgame,4436,2007
7.18,6.69889,"Ancient,City Building,Civilization",Strategy,"Admin: Better Description Needed!,Country: Greece,Solitaire Games",6.699,42910,5,45,"Auction/Bidding,Tile Placement,Variable Player Powers",10,1,45,2311,45,Peloponnes,boardgame,2311,2009
6.89,6.69737,"Action / Dexterity,Animals,Aviation / Flight,Children's Game,Electronic,Movies / TV / Radio theme,Real-time",Children's,"Animals: Chickens,Celebrities: Walt Disney,Toy Story",6.697,327,4,10,Player Elimination,4,2,10,6704,10,Loopin' Louie,boardgame,6704,1992
6.98,6.69671,Prehistoric,Strategy,"Admin: Better Description Needed!,Evolution",6.697,124,4,90,"Dice Rolling,Grid Movement,Player Elimination,Variable Phase Order,Variable Player Powers",12,3,90,4251,90,Primordial Soup,boardgame,4251,1997
7.41,6.69669,"Adventure,Fantasy",Thematic,"Solitaire Games,Warhammer Fantasy Board Games",6.697,1634,4,120,"Co-operative Play,Dice Rolling,Modular Board,Role Playing",12,1,120,2012,120,Warhammer Quest,boardgame,2012,1995
7.17,6.69447,"Card Game,Fantasy",Strategy,,6.694,171233,5,90,"Co-operative Play,Deck / Pool Building,Hand Management,Player Elimination,Variable Player Powers",12,2,60,2636,90,The Big Book of Madness,boardgame,2636,2015
7.13,6.69378,"Action / Dexterity,Fantasy,Real-time",Family,,6.694,136991,5,30,Line Drawing,8,2,20,2788,30,Loony Quest,boardgame,2788,2015
7.83,6.69158,"Wargame,World War II",Wargames,"No Retreat series,Solitaire Games,Solitaire Wargames",6.692,68264,2,360,"Campaign / Battle Card Driven,Dice Rolling,Hex-and-Counter,Simulation",12,1,360,1062,360,No Retreat! The Russian Front,boardgame,1062,2011
7.04,6.69028,"Bluffing,Card Game,Fantasy","Family, Strategy","Alea Medium Box,Witches",6.690,34084,5,45,"Hand Management,Simultaneous Action Selection",9,3,45,3325,45,Witch's Brew,boardgame,3325,2008
6.82,6.68903,Abstract Strategy,"Abstract, Family","Mensa Select,Qwirkle",6.689,25669,4,45,"Hand Management,Pattern Building,Tile Placement",6,2,45,10648,45,Qwirkle,boardgame,10648,2006
6.98,6.68869,"City Building,Dice,Real-time,Science Fiction",Family,"3D Games,Steampunk",6.689,121410,4,60,"Card Drafting,Dice Rolling,Memory,Modular Board",8,2,60,4149,60,Steam Park,boardgame,4149,2013
6.77,6.68588,"Abstract Strategy,Animals","Abstract, Family","Animals: Fishes,Animals: Penguins,Antarctic Theme,Sports: Fishing / Angling",6.686,8203,4,20,"Area Enclosure,Grid Movement,Modular Board",8,2,20,15523,20,"Hey, That's My Fish!",boardgame,15523,2003
7.03,6.68299,Card Game,Strategy,"Climbing Games,Country: Scotland,Games by the Game Artisans of Canada,Postcard Box Games,Shedding Games,Traditional Card Games",6.683,37628,3,45,"Betting/Wagering,Hand Management,Trick-taking",13,2,45,3291,45,Haggis,boardgame,3291,2010
7.17,6.68263,"Economic,Exploration,Science Fiction,Space Exploration,Transportation",Strategy,Solitaire Games,6.683,230,6,180,"Commodity Speculation,Dice Rolling,Pick-up and Deliver,Point to Point Movement,Roll / Spin and Move",12,1,180,2432,180,Merchant of Venus,boardgame,2432,1988
7.49,6.68229,"Humor,Party Game",Party,,6.682,30618,99,20,"Line Drawing,Paper-and-Pencil",0,3,20,1393,20,Eat Poop You Cat,boardgame,1393,1984
7.19,6.68083,"Napoleonic,Political",Strategy,"Country: France,Valley Games Classic Line",6.681,2507,6,120,"Area Control / Area Influence,Auction/Bidding,Card Drafting,Hand Management",12,3,120,2273,120,Liberté,boardgame,2273,2001
6.95,6.67978,"Card Game,Collectible Components,Fantasy,Fighting,Medieval,Negotiation,Novel-based","Customizable, Strategy","CCGs (Collectible Card Games),A Game of Thrones LCG,Living Card Game,A Song of Ice and Fire",6.680,39953,4,60,"Card Drafting,Hand Management,Simultaneous Action Selection,Variable Player Powers",14,2,60,5293,60,A Game of Thrones: The Card Game,boardgame,5293,2008
7.02,6.67977,Card Game,Family,Stronghold Games Pocket Line,6.680,152162,6,30,"Hand Management,Trick-taking",8,2,20,3408,30,Diamonds,boardgame,3408,2014
7.38,6.67945,"Exploration,Fighting,Wargame,World War II",Wargames,"Ambush! solitaire wargame system,Solitaire Games,Solitaire Wargames",6.679,1608,1,240,"Action Point Allowance System,Dice Rolling,Hex-and-Counter,Secret Unit Deployment",12,1,240,1835,240,Ambush!,boardgame,1835,1983
6.82,6.67913,"Dice,Fantasy,Fighting",Strategy,Quarriors Pool Building system,6.679,91536,4,30,"Card Drafting,Deck / Pool Building,Dice Rolling",14,2,30,11526,30,Quarriors!,boardgame,11526,2011
7.07,6.67877,"City Building,Economic",Strategy,"Cities: Hamburg,Country: Germany,Rondel Series",6.679,30381,5,75,Set Collection,12,2,75,2816,75,Hamburgum,boardgame,2816,2007
7.02,6.67869,"Bluffing,Card Game,City Building,Civilization,Fantasy,Negotiation",Strategy,"Berserk,Crowdfunding: Giochistarter,Crowdfunding: Kickstarter,Crowdfunding: Wspieram",6.679,157526,4,60,"Card Drafting,Hand Management,Memory,Set Collection,Tile Placement",12,1,45,3532,60,Viceroy,boardgame,3532,2014
6.90,6.67806,"Economic,Industry / Manufacturing",Strategy,Power Grid,6.678,44163,5,60,"Auction/Bidding,Commodity Speculation",12,2,60,5281,60,Power Grid: Factory Manager,boardgame,5281,2009
7.03,6.67729,"Card Game,Medieval","Family, Strategy",Guildhall,6.677,132372,4,45,"Hand Management,Set Collection,Take That",10,2,30,3276,45,Guildhall,boardgame,3276,2012
7.40,6.67722,"Comic Book / Strip,Deduction,Memory,Murder/Mystery",Party,Ystari originals,6.677,164265,4,15,"Co-operative Play,Memory",13,4,15,1585,15,Witness,boardgame,1585,2014
8.31,6.67632,"Adventure,Exploration",Thematic,"Arzium Setting,Crowdfunding: Kickstarter",6.676,195421,4,120,"Card Drafting,Dice Rolling,Route/Network Building,Set Collection,Storytelling,Variable Player Powers,Worker Placement",13,2,60,745,120,Near and Far,boardgame,745,2017
7.00,6.67579,"Card Game,Nautical",Strategy,"Animals: Crabs,Animals: Fishes,Arctic Theme,Country: Canada,Crowdfunding: Kickstarter,Fleet,Sports: Fishing / Angling",6.676,121297,4,45,"Auction/Bidding,Hand Management",10,2,30,3576,45,Fleet,boardgame,3576,2012
7.20,6.67394,"Animals,Card Game,Novel-based,Racing",Family,Tales & Games,6.674,130176,5,15,"Betting/Wagering,Hand Management",7,2,15,2226,15,Tales & Games: The Hare & the Tortoise,boardgame,2226,2011
7.50,6.67135,"Wargame,World War II","Strategy, Wargames",Quartermaster Series,6.671,159473,6,90,"Area Control / Area Influence,Campaign / Battle Card Driven,Hand Management,Partnerships",12,2,90,1486,90,Quartermaster General,boardgame,1486,2014
7.01,6.67078,"Civil War,Wargame","Thematic, Wargames","Asian Theme,Country: Japan,Gamemaster Series,Samurai",6.671,221,5,360,"Auction/Bidding,Dice Rolling,Simultaneous Action Selection",12,2,240,4326,360,Ikusa,boardgame,4326,1986
7.19,6.67044,"City Building,Economic,Medieval",Strategy,"Admin: Better Description Needed!,Country: France",6.670,91873,5,60,"Area Control / Area Influence,Auction/Bidding,Pattern Building,Tile Placement",12,3,60,2107,60,Strasbourg,boardgame,2107,2011
6.96,6.66876,"Animals,Racing,Sports",Family,"Alea Small Box,Sports: Horse Racing",6.669,1382,6,60,"Betting/Wagering,Roll / Spin and Move",10,2,45,4150,60,Winner's Circle,boardgame,4150,2001
6.90,6.66873,"Adventure,Exploration,Fantasy,Fighting",Thematic,"The Realms of Terrinoth,Runebound,Solitaire Games",6.669,21523,6,240,"Area Movement,Card Drafting,Dice Rolling,Role Playing",12,1,120,7148,240,Runebound (Second Edition),boardgame,7148,2005
8.02,6.66823,"Modern Warfare,Wargame",Wargames,"Country: Afghanistan,GMT COIN Series,Solitaire Games,Solitaire Wargames",6.668,127518,4,300,"Area Control / Area Influence,Area Movement,Dice Rolling,Variable Phase Order,Variable Player Powers",12,1,180,870,300,A Distant Plain,boardgame,870,2013
6.97,6.66783,"Animals,Economic,Farming,Territory Building",Strategy,"Country: Argentina,Country: Uruguay",6.668,19100,5,90,"Area Enclosure,Card Drafting,Route/Network Building,Tile Placement",10,2,60,3735,90,Hacienda,boardgame,3735,2005
7.53,6.66327,"Card Game,Dice,Fantasy","Family, Strategy","Crowdfunding: Kickstarter,Tableau Building",6.663,170561,5,45,"Card Drafting,Deck / Pool Building,Dice Rolling",13,1,30,1395,45,Valeria: Card Kingdoms,boardgame,1395,2016
7.89,6.66227,"Wargame,World War II",Wargames,"Advanced Squad Leader,Advanced Squad Leader Starter Kit",6.662,15126,2,180,"Dice Rolling,Hex-and-Counter",12,2,180,960,180,Advanced Squad Leader: Starter Kit #2,boardgame,960,2005
7.21,6.66112,"Dice,Movies / TV / Radio theme,Science Fiction,Wargame",Thematic,"Risk,Star Wars",6.661,183880,4,45,"Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Variable Player Powers",10,2,30,2151,45,Risk: Star Wars Edition,boardgame,2151,2015
6.87,6.66101,"Bluffing,Deduction,Horror,Murder/Mystery,Party Game",Party,Werewolf / Mafia,6.661,25821,18,30,"Partnerships,Player Elimination,Role Playing,Variable Player Powers,Voting",10,8,30,7216,30,The Werewolves of Miller's Hollow,boardgame,7216,2001
6.91,6.66023,"Economic,Medieval,Nautical,Transportation",Strategy,"Admin: Better Description Needed!,Cities: Tallinn,Country: Denmark,Country: Holy Roman Empire,Country: Norway,Country: Sweden,Hansa",6.660,8989,4,60,"Action Point Allowance System,Area Control / Area Influence,Pick-up and Deliver,Point to Point Movement,Set Collection",10,2,60,4579,60,Hansa,boardgame,4579,2004
7.04,6.65889,City Building,Strategy,"3D Games,Asian Theme,Country: Indonesia,The Mask Trilogy,Tropical theme",6.659,855,4,120,"Action Point Allowance System,Area Control / Area Influence,Tile Placement",12,2,120,2994,120,Java,boardgame,2994,2000
8.35,6.65852,"Fantasy,Fighting,Miniatures,Sports",Uncategorized,"Blood Bowl,Fantasy Sports,Games Workshop Specialist Games,Warhammer Fantasy Board Games",6.659,212445,2,120,"Dice Rolling,Grid Movement,Variable Player Powers",12,2,45,745,120,Blood Bowl (2016 edition),boardgame,745,2016
7.68,6.65771,"American Civil War,Wargame",Wargames,,6.658,833,2,360,"Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,Simulation",12,2,360,1161,360,For the People,boardgame,1161,1998
7.62,6.65733,"Card Game,Territory Building,Trains",Strategy,"AEG: Big in Japan,AEG: Destination Fun,Country: Japan",6.657,157001,4,45,"Deck / Pool Building,Hand Management,Route/Network Building",12,2,45,1162,45,Trains: Rising Sun,boardgame,1162,2014
6.78,6.65661,"Adventure,Fantasy,Novel-based",Thematic,"Fantasy Flight Silver Line Games,Kosmos Literature Series,Lord of the Rings (Reiner Knizia's co-op game),Tolkien Games",6.657,823,5,60,"Co-operative Play,Dice Rolling,Hand Management,Set Collection,Variable Player Powers",12,2,60,11959,60,Lord of the Rings,boardgame,11959,2000
7.78,6.65637,"Ancient,Civil War,Wargame",Wargames,"Ancient Rome,Block wargames,Columbia's Great Battles of History",6.656,37836,2,120,"Campaign / Battle Card Driven,Dice Rolling,Hand Management,Point to Point Movement,Secret Unit Deployment,Simultaneous Action Selection",12,2,120,1046,120,Julius Caesar,boardgame,1046,2010
7.56,6.65496,"Abstract Strategy,Renaissance,Wargame",Strategy,"Crowdfunding: Kickstarter,Steampunk",6.655,158435,5,75,"Partnerships,Worker Placement",14,3,75,1261,75,Dogs of War,boardgame,1261,2014
7.57,6.65479,"Modern Warfare,Political,Wargame",Wargames,"Country: Colombia,GMT COIN Series,Solitaire Games,Solitaire Wargames",6.655,91080,4,360,"Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Variable Phase Order,Variable Player Powers",12,1,360,1265,360,Andean Abyss,boardgame,1265,2012
7.45,6.65355,"Racing,Sports,Transportation","Family, Strategy","AEG: Destination Fun,Sports: Auto Racing",6.654,180680,5,75,"Deck / Pool Building,Hand Management",10,2,45,1418,75,Automobiles,boardgame,1418,2016
7.49,6.65341,"American West,Economic,Territory Building",Strategy,Crowdfunding: Kickstarter,6.653,154086,4,60,"Area Control / Area Influence,Modular Board,Route/Network Building,Set Collection",13,2,45,1298,60,Gold West,boardgame,1298,2015
7.90,6.65313,"Economic,Industry / Manufacturing",Strategy,,6.653,154825,4,240,"Commodity Speculation,Simulation,Stock Holding,Variable Phase Order,Worker Placement",12,2,120,897,240,Arkwright,boardgame,897,2014
8.17,6.65214,"Aviation / Flight,Modern Warfare,Wargame",Wargames,"Leader Series,Solitaire Games,Solitaire Wargames",6.652,123955,1,90,"Area Movement,Hand Management,Simulation",12,1,90,807,90,Thunderbolt Apache Leader,boardgame,807,2012
6.89,6.6509,Card Game,Family,Wizard,6.651,1465,6,45,"Betting/Wagering,Hand Management,Trick-taking",10,3,45,5498,45,Wizard,boardgame,5498,1984
6.91,6.65073,Dice,Family,Mensa Select,6.651,131260,5,15,"Dice Rolling,Paper-and-Pencil",8,2,15,4526,15,Qwixx,boardgame,4526,2012
7.64,6.65054,"Wargame,World War II",Wargames,"Crowdfunding: Kickstarter,Normandie series",6.651,53093,2,60,"Dice Rolling,Grid Movement,Hex-and-Counter,Modular Board,Variable Player Powers",14,2,30,1290,60,Heroes of Normandie,boardgame,1290,2014
6.95,6.64914,City Building,Strategy,Polyominoes,6.649,25643,4,60,"Area Control / Area Influence,Set Collection,Stock Holding,Tile Placement",10,2,60,3758,60,Arkadia,boardgame,3758,2006
7.09,6.64894,Card Game,Family,,6.649,153065,5,20,"Card Drafting,Hand Management,Set Collection",10,2,20,2620,20,Linko!,boardgame,2620,2014
6.75,6.64887,"Card Game,City Building,Dice",Family,"Asian Theme,Country: Japan,Machi Koro",6.649,143884,4,30,"Card Drafting,Dice Rolling",10,2,30,16042,30,Machi Koro,boardgame,16042,2012
7.63,6.64872,"Card Game,Racing,Sports",Family,Sports: Bicycle / Cycling,6.649,199478,4,45,"Hand Management,Modular Board,Simulation",8,2,30,1238,45,Flamme Rouge,boardgame,1238,2016
7.26,6.64869,"Racing,Sports","Family, Thematic","Forgenext,Solitaire Games,Sports: Auto Racing",6.649,60435,4,45,"Dice Rolling,Modular Board,Press Your Luck,Simulation",9,1,45,1970,45,Rallyman,boardgame,1970,2009
6.98,6.64798,Animals,"Family, Strategy",Alea Medium Box,6.648,154246,4,60,"Action / Movement Programming,Area Enclosure,Hand Management,Modular Board,Set Collection,Simultaneous Action Selection",10,2,30,3418,60,La Isla,boardgame,3418,2014
7.63,6.64648,"Card Game,City Building,Economic,Science Fiction",Strategy,"Neuroshima,Tableau Building",6.646,96007,5,60,"Card Drafting,Hand Management,Variable Player Powers",10,2,60,1172,60,The New Era,boardgame,1172,2011
7.60,6.64588,"Dice,Fantasy",Strategy,Crowdfunding: Kickstarter,6.646,169426,4,90,"Card Drafting,Dice Rolling,Set Collection",10,1,60,1220,90,Roll Player,boardgame,1220,2016
7.54,6.6458,Trains,Strategy,,6.646,207691,4,90,Route/Network Building,12,2,45,1230,90,Railroad Revolution,boardgame,1230,2016
6.94,6.64545,"Science Fiction,Space Exploration",Strategy,"Mars,Steampunk",6.645,18258,5,60,"Area Control / Area Influence,Hand Management,Simultaneous Action Selection",10,3,60,3686,60,Mission: Red Planet,boardgame,3686,2005
7.36,6.64543,Post-Napoleonic,Family,"Cities: Chicago (Illinois, USA),Crowdfunding: Kickstarter,Mensa Select",6.645,178336,4,45,"Area Control / Area Influence,Card Drafting,Set Collection",10,2,35,1602,45,World's Fair 1893,boardgame,1602,2016
7.08,6.64523,"Abstract Strategy,City Building","Abstract, Strategy","Cities: Medina,Desert Theme,Middle Eastern Theme",6.645,1261,4,60,Tile Placement,10,3,60,2588,60,Medina,boardgame,2588,2001
6.89,6.6425,"Action / Dexterity,Animals,Children's Game",Children's,Tier auf Tier,6.643,17329,4,15,Dice Rolling,4,2,15,4635,15,Animal Upon Animal,boardgame,4635,2005
6.85,6.64239,"Adventure,Bluffing,Card Game,Deduction,Horror,Party Game","Party, Thematic","Anime & Manga,Werewolf / Mafia",6.642,24068,8,45,"Dice Rolling,Partnerships,Player Elimination,Variable Player Powers",13,4,45,6385,45,Shadow Hunters,boardgame,6385,2005
7.29,6.64217,"Economic,Renaissance","Family, Strategy",Cities: Florence,6.642,75449,4,60,"Deck / Pool Building,Set Collection",12,2,60,1670,60,Firenze,boardgame,1670,2010
7.13,6.64192,"Bluffing,Card Game,Fantasy,Fighting,Video Game Theme",Strategy,"Crowdfunding: Kickstarter,Fantasy Strike",6.642,43022,2,30,"Hand Management,Rock-Paper-Scissors,Simultaneous Action Selection,Variable Player Powers",10,2,30,2597,30,Yomi,boardgame,2597,2011
6.93,6.64134,"Card Game,Novel-based",Family,"Card Games: Card Fishing,Characters: Alice In Wonderland,Z-Man / Filosofia deluxe card game series",6.641,56692,6,30,"Hand Management,Set Collection",12,2,20,3912,30,Parade,boardgame,3912,2007
7.11,6.6409,"Adventure,Card Game,Miniatures",Thematic,"Fortune and Glory,Solitaire Games",6.641,95103,8,240,"Area Movement,Co-operative Play,Dice Rolling,Pick-up and Deliver,Press Your Luck,Roll / Spin and Move,Variable Player Powers",12,1,90,2736,240,Fortune and Glory: The Cliffhanger Game,boardgame,2736,2011
7.12,6.63922,Abstract Strategy,Abstract,"Combinatorial,GIPF Project",6.639,527,2,60,"Grid Movement,Pattern Building",9,2,30,2363,60,GIPF,boardgame,2363,1997
7.00,6.63783,"Card Game,Comic Book / Strip",Thematic,"Cerberus Engine: Heroes,Comics: DC Universe,Superheroes",6.638,125678,5,45,Deck / Pool Building,15,2,45,4152,45,DC Comics Deck-Building Game,boardgame,4152,2012
6.99,6.63668,City Building,Family,"Cities: New York (New York, USA),Country: USA,Mensa Select,Polyominoes",6.637,174660,4,60,"Card Drafting,Tile Placement",8,2,30,3278,60,New York 1901,boardgame,3278,2015
6.99,6.63665,"Adventure,Fighting,Horror,Murder/Mystery",Thematic,A Touch of Evil,6.637,35815,8,90,"Area Movement,Co-operative Play,Dice Rolling,Roll / Spin and Move,Variable Player Powers",12,2,90,3910,90,A Touch of Evil: The Supernatural Game,boardgame,3910,2008
7.94,6.63589,"Nautical,Wargame,World War II",Wargames,"Asian Theme,Empire of the Sun",6.636,11825,2,360,"Action Point Allowance System,Campaign / Battle Card Driven,Dice Rolling,Hex-and-Counter",12,1,360,924,360,Empire of the Sun,boardgame,924,2005
7.44,6.63561,Nautical,Strategy,"Arzium Setting,Crowdfunding: Kickstarter",6.636,185589,4,120,"Area Control / Area Influence,Area Movement,Modular Board",13,2,60,1378,120,Islebound,boardgame,1378,2016
7.60,6.63504,Action / Dexterity,Family,,6.635,193042,6,30,"Hand Management,Player Elimination",8,2,30,1157,30,Junk Art,boardgame,1157,2016
7.23,6.63353,"Territory Building,Transportation","Family, Strategy",,6.634,191231,4,60,"Pick-up and Deliver,Route/Network Building",12,2,45,1856,60,Via Nebula,boardgame,1856,2016
7.28,6.63277,"Abstract Strategy,Deduction,Puzzle",Abstract,"Asian Theme,Looney Pyramids,Mensa Select",6.633,6830,5,60,"Pattern Recognition,Simultaneous Action Selection",8,3,60,1755,60,Zendo,boardgame,1755,2001
6.85,6.63247,"American West,Dice",Family,,6.632,40793,5,60,"Dice Rolling,Set Collection,Simultaneous Action Selection",8,2,60,5237,60,Dice Town,boardgame,5237,2009
6.77,6.6313,"Card Game,City Building,Territory Building",Strategy,"Catan,Die Siedler von Catan: Das Kartenspiel / Catan Card Game,Kosmos two-player series",6.631,278,2,90,"Card Drafting,Dice Rolling,Hand Management,Trading",10,2,90,11202,90,Catan Card Game,boardgame,11202,1996
6.91,6.6285,Dice,Family,"Forgenext,Games by the Game Artisans of Canada",6.628,140933,4,30,"Dice Rolling,Pattern Building,Set Collection",14,2,30,4028,30,Blueprints,boardgame,4028,2013
6.78,6.62834,"Card Game,Fantasy","Family, Strategy","Animals: Dragons,Anime & Manga,Z-Man / Filosofia deluxe card game series",6.628,13823,5,30,"Card Drafting,Hand Management,Set Collection,Simultaneous Action Selection",10,2,30,7277,30,Fairy Tale,boardgame,7277,2004
7.19,6.62465,"Mafia,Negotiation",Thematic,Crowdfunding: Kickstarter,6.625,120523,5,120,"Area Control / Area Influence,Dice Rolling,Hand Management,Take That",8,3,120,1872,120,Nothing Personal,boardgame,1872,2013
7.32,6.62394,Economic,Family,,6.624,181687,4,90,"Simulation,Worker Placement",12,1,60,1584,90,The Pursuit of Happiness,boardgame,1584,2015
7.38,6.62373,"Civilization,Territory Building",Strategy,Quined Master Print Edition Series,6.624,164338,4,90,"Action Point Allowance System,Area Control / Area Influence,Card Drafting,Modular Board,Tile Placement",12,2,90,1479,90,The Golden Ages,boardgame,1479,2014
7.99,6.61994,"Wargame,World War II",Wargames,"Advanced Squad Leader,Advanced Squad Leader Starter Kit",6.620,20542,2,180,"Dice Rolling,Hex-and-Counter",12,2,180,830,180,Advanced Squad Leader: Starter Kit #3,boardgame,830,2007
7.20,6.61952,"Action / Dexterity,City Building,Civilization,Fighting,Science Fiction,Space Exploration",Strategy,"4X games,Admin: Better Description Needed!,Finger Flicking Games",6.620,37919,4,75,Set Collection,10,2,75,1879,75,Ascending Empires,boardgame,1879,2011
7.34,6.61934,"Bluffing,City Building,Civilization,Economic,Negotiation,Political,Territory Building",Strategy,Tableau Building,6.619,144041,4,120,"Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Card Drafting,Grid Movement,Hand Management,Memory,Simultaneous Action Selection,Tile Placement,Variable Player Powers,Voting,Worker Placement",12,2,60,1559,120,Patchistory,boardgame,1559,2013
6.98,6.61816,"Political,Renaissance",Strategy,"Cities: Venice,Country: Italy",6.618,119591,5,45,"Area Control / Area Influence,Auction/Bidding,Card Drafting",10,2,45,3004,45,Rialto,boardgame,3004,2013
6.99,6.61667,"Economic,Horror,Mature / Adult",Strategy,"Country: France,Tableau Building",6.617,180593,4,60,Hand Management,14,1,30,3082,60,The Bloody Inn,boardgame,3082,2015
7.44,6.61649,"Economic,Industry / Manufacturing,Science Fiction,Space Exploration","Strategy, Thematic",,6.616,47055,5,180,"Auction/Bidding,Dice Rolling,Hand Management,Pick-up and Deliver,Point to Point Movement,Simulation,Variable Player Powers",12,2,180,1374,180,High Frontier,boardgame,1374,2010
7.03,6.61637,"Medieval,Nautical",Strategy,"Components: Miniatures,Country: Denmark,Country: Norway,Country: Sweden,Vikings",6.616,12495,5,90,"Action Point Allowance System,Area Movement,Dice Rolling,Pick-up and Deliver",12,2,30,2611,90,Fire & Axe: A Viking Saga,boardgame,2611,2004
6.89,6.61632,"Animals,Prehistoric,Science Fiction","Family, Strategy","Animals: Dinosaurs,Evolution",6.616,1159,5,60,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Auction/Bidding,Dice Rolling,Hand Management,Variable Player Powers",14,3,60,4154,60,Evo,boardgame,4154,2001
7.17,6.6163,"Economic,Nautical",Family,"Carcassonne,Carcassonne: Around the World,Tropical theme",6.616,147303,5,35,"Area Control / Area Influence,Set Collection,Tile Placement",8,2,35,2028,35,Carcassonne: South Seas,boardgame,2028,2013
6.80,6.61494,"Card Game,Fantasy,Mythology","Family, Strategy","Fantasy Flight Silver Line Games,Knizia Betting Trilogy,Monsters",6.615,105,5,60,"Betting/Wagering,Hand Management",8,2,60,6332,60,Colossal Arena,boardgame,6332,1997
7.26,6.61449,"Bluffing,Card Game,Science Fiction",Strategy,,6.614,194879,7,45,"Action / Movement Programming,Deck / Pool Building,Hand Management",10,2,30,1886,45,Not Alone,boardgame,1886,2016
7.09,6.61379,"Card Game,City Building,Economic,Medieval",Strategy,"Country: Belgium,Tableau Building",6.614,105037,4,60,"Card Drafting,Hand Management,Worker Placement",12,2,30,2341,60,Tournay,boardgame,2341,2011
7.13,6.61284,"Bluffing,Deduction,Dice,Movies / TV / Radio theme,Print & Play,Science Fiction,Space Exploration,Spies/Secret Agents",Thematic,,6.613,111124,7,75,"Dice Rolling,Partnerships,Role Playing,Variable Player Powers",12,3,60,2152,75,Dark Moon,boardgame,2152,2011
7.12,6.61014,"Action / Dexterity,Children's Game","Children's, Family","Animals: Apes / Monkeys,Crowdfunding: Kickstarter",6.610,145639,4,20,Press Your Luck,6,2,20,2308,20,Coconuts,boardgame,2308,2013
8.10,6.60818,"Economic,Trains",Strategy,"18xx,Admin: Better Description Needed!,Country: USA",6.608,17405,5,240,"Route/Network Building,Stock Holding,Tile Placement",14,3,240,709,240,1846: The Race for the Midwest,boardgame,709,2005
