avg_rate,bayesaverage,category,classificationtype,family,geek_rate,id,maxplayers,maxplaytime,mechanism,minage,minplayers,minplaytime,num_votes,playingtime,title,type,usersrated,yearpublished
6.41,5.72967,"Political,Wargame",Wargames,Country: Japan,5.730,63,8,180,Area Movement,12,2,180,375,180,Samurai,boardgame,375,1979
6.61,5.72962,"American West,Card Game",Uncategorized,,5.730,182094,2,30,Hand Management,8,2,30,278,30,BANG! The Duel,boardgame,278,2015
7.98,5.72948,"Wargame,World War I",Wargames,,5.729,27817,2,0,"Dice Rolling,Hex-and-Counter",14,2,0,116,0,Marne 1918: Friedensturm,boardgame,116,2006
6.19,5.72945,"Animals,Bluffing,Fighting,Humor","Family, Strategy",Animals: Deer,5.729,30483,4,45,"Action / Movement Programming,Simultaneous Action Selection",10,3,45,494,45,Antler Island,boardgame,494,2007
6.70,5.72936,"Adventure,Exploration,Racing",Thematic,Crowdfunding: Indiegogo,5.729,108637,8,60,"Action Point Allowance System,Area Movement,Dice Rolling,Hand Management,Modular Board",13,2,60,300,60,Wilderness,boardgame,300,2011
6.07,5.72921,"Bluffing,Card Game,Economic,Fantasy",Family,,5.729,40235,6,45,"Auction/Bidding,Hand Management",10,3,45,697,45,Bridge Troll,boardgame,697,2009
6.47,5.72914,"Card Game,Humor","Family, Party",,5.729,66437,4,30,"Card Drafting,Hand Management",10,2,30,340,30,Souvlaki Wars,boardgame,340,2011
6.87,5.72913,"Wargame,World War II",Wargames,World War 2: Battle of the Bulge,5.729,747,2,240,Hex-and-Counter,12,2,240,190,240,Bitter Woods,boardgame,190,1998
6.50,5.72895,"Fantasy,Humor,Miniatures,Wargame","Thematic, Wargames","Games Workshop Specialist Games,Warhammer 40,000 Wargames",5.729,5255,4,120,Dice Rolling,12,2,120,314,120,Gorkamorka,boardgame,314,1997
6.31,5.72879,Card Game,Abstract,"3M Gamettes,Sid Sackson Signature Series",5.729,1520,4,60,Set Collection,10,2,45,375,60,Monad,boardgame,375,1969
6.84,5.72874,"Nautical,Wargame,World War I",Wargames,Great War at Sea,5.729,4769,2,120,"Hex-and-Counter,Simultaneous Action Selection",12,2,120,233,120,Great War at Sea: The Mediterranean,boardgame,233,1996
6.18,5.72867,"Action / Dexterity,Animals,Children's Game",Uncategorized,Animals: Cats,5.729,150485,6,20,Dice Rolling,4,2,15,544,20,Cat Tower,boardgame,544,2015
7.24,5.72862,Action / Dexterity,Uncategorized,"Finger Flicking Games,Sports: Football / Soccer",5.729,1803,4,40,,6,2,40,147,40,Zopp,boardgame,147,1997
6.89,5.72846,"Animals,Card Game,Dice",Uncategorized,Crowdfunding: Kickstarter,5.728,166988,4,30,"Card Drafting,Dice Rolling,Set Collection,Variable Player Powers",10,1,30,199,30,Wizards of the Wild,boardgame,199,2015
5.98,5.72843,"Abstract Strategy,Medieval,Miniatures",Abstract,"3M Bookshelf Series,Chess Games",5.728,847,6,90,Grid Movement,10,2,90,1207,90,Feudal,boardgame,1207,1967
7.46,5.72843,Trains,Strategy,"18xx,Country: Belgium,Country: France",5.728,1313,6,210,"Route/Network Building,Stock Holding,Tile Placement",14,2,210,126,210,1826,boardgame,126,2000
7.70,5.72842,"Bluffing,World War II",Uncategorized,Stronghold Games: The Great Designer Series,5.728,197439,2,120,Simulation,10,2,90,126,120,The Fog of War,boardgame,126,2016
6.66,5.72824,Science Fiction,Strategy,"Admin: Better Description Needed!,Time Travel",5.728,311,6,240,Variable Player Powers,12,2,240,237,240,Time Agent,boardgame,237,1992
6.72,5.72824,Economic,"Family, Strategy","Cities: Cairo,Country: Egypt,Queen Yellow Wave Box Series",5.728,107635,4,45,"Hand Management,Tile Placement",8,2,45,224,45,Kairo,boardgame,224,2012
6.83,5.72817,Sports,Thematic,Sports: Baseball,5.728,895,2,30,"Dice Rolling,Simultaneous Action Selection",10,1,30,222,30,APBA Pro Baseball,boardgame,222,1951
6.50,5.72809,"Card Game,Humor",Uncategorized,,5.728,175961,6,40,"Hand Management,Take That",13,2,20,345,40,Three Cheers for Master,boardgame,345,2015
6.75,5.72806,"Science Fiction,Space Exploration,Wargame",Wargames,"Starfire,Task Force Games: Pocket Games series",5.728,2891,3,30,"Action Point Allowance System,Hex-and-Counter,Modular Board,Variable Player Powers",10,2,30,247,30,Starfire,boardgame,247,1979
6.38,5.72803,"Bluffing,Sports",Strategy,"Sports: American Football / Gridiron,Tube Games",5.728,951,4,150,"Memory,Rock-Paper-Scissors,Simulation,Simultaneous Action Selection",10,2,150,376,150,Football Strategy,boardgame,376,1959
6.32,5.72791,Abstract Strategy,"Abstract, Party","3D Games,Food / Cooking",5.728,146818,4,20,"Area Enclosure,Grid Movement,Modular Board",8,2,10,375,20,Cappuccino,boardgame,375,2013
5.93,5.72778,"Card Game,Comic Book / Strip,Fighting,Humor",Thematic,"Munchkin,Superheroes",5.728,16933,6,90,"Dice Rolling,Trading,Variable Player Powers",10,3,90,2174,90,Super Munchkin,boardgame,2174,2005
6.60,5.72774,"Ancient,Nautical",Uncategorized,Crowdfunding: Kickstarter,5.728,164237,5,45,Route/Network Building,8,3,45,258,45,Neptun,boardgame,258,2014
6.96,5.72764,Children's Game,Children's,Country: Egypt,5.728,175088,6,0,,7,2,20,177,0,Pharaoh's Gulo Gulo,boardgame,177,2015
7.28,5.72723,"Exploration,Game System,Puzzle,Real-time",Uncategorized,"Escape Room Games,Unlock!",5.727,224316,6,60,"Co-operative Play,Storytelling",10,2,60,144,60,Unlock! The Elite,boardgame,144,2017
6.07,5.72701,"Party Game,Trivia,Word Game","Family, Party","3M Bookshelf Series,Categories",5.727,1233,5,30,,8,1,30,718,30,Facts in Five,boardgame,718,1964
7.74,5.727,"Wargame,World War II",Wargames,"Campaign Commander,Country: Russia",5.727,40243,2,180,"Area Movement,Area-Impulse,Dice Rolling,Simultaneous Action Selection",0,2,180,121,180,Campaign Commander Volume I: Roads to Stalingrad,boardgame,121,2009
6.16,5.72697,"Card Game,Medieval,Novel-based",Family,"Admin: Better Description Needed!,Ken Follett novels,Kosmos Literature Series,The Pillars of the Earth",5.727,67593,4,30,"Hand Management,Trick-taking",10,3,30,504,30,Die Säulen der Erde: das Kartenspiel,boardgame,504,2010
6.48,5.72685,"Card Game,Mythology",Family,Vikings,5.727,34701,6,30,Stock Holding,0,2,30,267,30,Thor,boardgame,267,2002
7.90,5.72683,"Wargame,World War II",Wargames,,5.727,69234,2,120,"Dice Rolling,Hex-and-Counter,Simulation",12,2,120,115,120,"Operation Dauntless: The Battles for Fontenay and Rauray, France, June 1944",boardgame,115,2016
6.52,5.72663,"Modern Warfare,Wargame",Wargames,"Cities: Hormuz,Country: Bahrain,Country: Qatar,Country: United Arab Emirates",5.727,2076,2,360,"Hex-and-Counter,Simulation",12,2,360,343,360,Gulf Strike,boardgame,343,1983
6.05,5.72661,"Card Game,Comic Book / Strip,Fighting,Humor,Party Game,Science Fiction",Party,Admin: Better Description Needed!,5.727,139443,10,30,"Storytelling,Variable Player Powers,Voting",5,3,30,1001,30,Superfight,boardgame,1001,2013
6.15,5.72654,"Animals,Bluffing,Humor",Uncategorized,"Animals: Chickens,Animals: Dogs,Animals: Foxes",5.727,6117,6,20,"Hand Management,Simultaneous Action Selection",8,3,20,506,20,Nobody but Us Chickens,boardgame,506,2003
6.30,5.72632,"Action / Dexterity,Real-time",Family,"Chopstick Challenge,Crowdfunding: Kickstarter",5.726,25695,3,15,,10,1,15,369,15,Chopstick Dexterity MegaChallenge 3000,boardgame,369,2006
7.05,5.72582,"Card Game,Political",Uncategorized,,5.726,203828,2,13,"Area Control / Area Influence,Campaign / Battle Card Driven,Hand Management",10,2,13,162,13,13 Minutes: The Cuban Missile Crisis,boardgame,162,2017
7.21,5.72574,"Age of Reason,American Indian Wars,Wargame",Wargames,"Country: Canada,French and Indian War,Solitaire Games,Solitaire Wargames,Victory Point Games States of Siege Series",5.726,53624,1,25,"Action Point Allowance System,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement",12,1,25,150,25,Empires in America,boardgame,150,2009
6.30,5.72527,Exploration,Uncategorized,Country: Costa Rica,5.725,194100,5,45,"Press Your Luck,Set Collection",8,2,30,370,45,Costa Rica,boardgame,370,2016
6.83,5.72508,"Napoleonic,Wargame",Wargames,"Magazine: Strategy & Tactics,Wellington's Victory system",5.725,4255,2,180,"Dice Rolling,Hex-and-Counter",14,2,180,206,180,Ney vs. Wellington,boardgame,206,1979
7.00,5.72499,"Action / Dexterity,Humor,Mafia,Negotiation",Uncategorized,,5.725,18794,5,120,Roll / Spin and Move,10,3,120,171,120,SuperGang,boardgame,171,1985
6.23,5.72467,"Abstract Strategy,Bluffing,Deduction,Fantasy,Fighting,Memory",Uncategorized,Stratego Series,5.725,40432,2,30,"Memory,Secret Unit Deployment",8,2,30,547,30,Stratego (Revised Edition),boardgame,547,2008
6.37,5.72461,"Action / Dexterity,Children's Game,Party Game","Family, Party",,5.725,499,8,30,,6,1,30,332,30,Arbos,boardgame,332,1999
7.47,5.72444,"Horror,Wargame,World War II",Uncategorized,"Crowdfunding: Kickstarter,Cthulhu Mythos,Normandie series",5.724,162351,3,90,"Dice Rolling,Grid Movement,Hex-and-Counter,Modular Board,Variable Player Powers",14,2,90,135,90,Shadows over Normandie,boardgame,135,2015
6.12,5.72442,"Horror,Science Fiction",Thematic,Level 7,5.724,125658,4,45,"Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers",14,1,45,697,45,Level 7 [Escape],boardgame,697,2012
6.42,5.72441,Exploration,Strategy,"Crowdfunding: Kickstarter,Solar System",5.724,121409,5,90,Dice Rolling,10,2,90,350,90,1969,boardgame,350,2012
7.32,5.7244,"Economic,Industry / Manufacturing,Political",Uncategorized,,5.724,206490,5,90,"Chit-Pull System,Dice Rolling,Partnerships,Route/Network Building,Simulation",14,2,45,134,90,An Infamous Traffic,boardgame,134,2016
6.28,5.72429,"Animals,Children's Game,Dice",Family,Animals: Rabbits,5.724,39088,7,20,"Dice Rolling,Press Your Luck",8,2,20,393,20,Hoppladi Hopplada!,boardgame,393,2008
6.37,5.72427,"Dice,Fantasy,Racing",Uncategorized,,5.724,175495,6,30,"Dice Rolling,Grid Movement,Take That,Variable Player Powers",8,2,30,353,30,Titan Race,boardgame,353,2015
6.41,5.72386,"Abstract Strategy,Ancient",Abstract,"3D Games,Country: Egypt,Mensa Select",5.724,153709,4,15,Set Collection,8,2,15,325,15,Pyramix,boardgame,325,2014
7.02,5.7238,Science Fiction,"Thematic, Wargames","Crowdfunding: Kickstarter,Solitaire Games,Solitaire Wargames",5.724,2324,1,120,"Chit-Pull System,Dice Rolling,Hex-and-Counter,Simulation",12,1,120,171,120,Last Frontier: The Vesuvius Incident,boardgame,171,1993
6.35,5.72378,Economic,Strategy,Food / Cooking,5.724,720,5,120,Roll / Spin and Move,12,2,120,363,120,Fast Food Franchise,boardgame,363,1992
7.07,5.72357,"Aviation / Flight,Exploration,Print & Play,Wargame,World War II",Thematic,"...in my Pocket,Games by the Game Artisans of Canada,Solitaire Games,Solitaire Wargames",5.724,42651,2,15,"Co-operative Play,Tile Placement",10,1,15,176,15,Airborne In Your Pocket: Free Trial Version,boardgame,176,2009
7.11,5.72346,"Bluffing,Card Game,Deduction,Fighting,Horror,Mature / Adult,Movies / TV / Radio theme,Print & Play,Science Fiction",Thematic,Aliens,5.723,75828,4,45,"Co-operative Play,Dice Rolling,Hand Management,Partnerships,Secret Unit Deployment,Worker Placement",18,2,45,160,45,The Thing,boardgame,160,2010
6.57,5.72346,"Abstract Strategy,Card Game",Uncategorized,"Crowdfunding: Kickstarter,Pack O Game",5.723,159143,5,10,"Area Enclosure,Pattern Building,Stock Holding,Tile Placement",8,2,10,253,10,HUE,boardgame,253,2015
8.07,5.72344,"Adventure,Fantasy,Puzzle",Uncategorized,Legends of Andor,5.723,198287,4,90,"Area Movement,Co-operative Play,Dice Rolling,Variable Player Powers",10,2,60,92,90,Legends of Andor: The Last Hope,boardgame,92,2016
6.38,5.72343,"Action / Dexterity,Bluffing,Children's Game",Children's,Marble Games,5.723,1702,4,20,Betting/Wagering,6,2,20,331,20,Klondike,boardgame,331,1993
6.72,5.72337,Economic,"Abstract, Strategy",Games by the Game Artisans of Canada,5.723,173649,5,60,"Action Point Allowance System,Modular Board,Tile Placement",10,2,30,216,60,King Chocolate,boardgame,216,2015
7.00,5.72324,"Civilization,Negotiation",Uncategorized,Catan,5.723,24511,4,30,"Dice Rolling,Hand Management,Memory,Modular Board,Route/Network Building,Trading",10,2,30,173,30,Simply Catan,boardgame,173,2006
6.55,5.72315,"Economic,Fantasy,Science Fiction",Thematic,Cyberpunk,5.723,38980,6,120,"Area Control / Area Influence,Card Drafting,Secret Unit Deployment,Worker Placement",14,2,120,267,120,Mecanisburgo,boardgame,267,2008
6.32,5.72302,"Bluffing,Card Game,Exploration",Uncategorized,Saboteur,5.723,168215,2,30,"Hand Management,Route/Network Building",8,1,30,410,30,Saboteur: The Duel,boardgame,410,2014
7.22,5.72249,"Fantasy,Miniatures,Renaissance,Spies/Secret Agents",Uncategorized,,5.722,203740,4,120,"Action / Movement Programming,Action Point Allowance System,Simultaneous Action Selection,Variable Player Powers",14,2,60,164,120,Age of Thieves,boardgame,164,2016
6.65,5.7223,"Nautical,Pirates,Real-time",Uncategorized,,5.722,172560,4,30,"Auction/Bidding,Card Drafting,Set Collection",8,2,30,243,30,Piratoons,boardgame,243,2015
6.87,5.72217,"Napoleonic,Wargame",Wargames,"Country: Russia,GMT Napoleonic Wars Series",5.722,20077,4,360,Campaign / Battle Card Driven,12,2,360,201,360,Kutuzov,boardgame,201,2008
6.50,5.72215,Card Game,Family,Mensa Select,5.722,350,6,30,Trick-taking,10,4,30,268,30,Hattrick,boardgame,268,1995
7.60,5.72209,"Collectible Components,Dice,Miniatures,Wargame,World War II",Uncategorized,,5.722,195242,0,0,"Action Point Allowance System,Dice Rolling,Variable Player Powers",0,2,0,157,0,Tanks: Panther vs Sherman,boardgame,157,2016
6.13,5.72204,"Animals,Card Game,Humor,Real-time",Party,"Animals: Cockroaches,Drei Magier Ugly Animals,Food / Cooking",5.722,38391,6,20,Pattern Recognition,6,2,10,551,20,Kakerlakensuppe,boardgame,551,2008
6.69,5.7219,Action / Dexterity,Uncategorized,Country: The Netherlands,5.722,5071,4,30,,6,1,30,221,30,Sjoelen,boardgame,221,1870
6.09,5.72187,"Ancient,Card Game,Religious",Family,"Bible Games,Cities: Jericho",5.722,21709,5,15,"Hand Management,Set Collection,Take That",8,3,15,575,15,Jericho,boardgame,575,2006
6.41,5.72186,"Children's Game,Negotiation,Pirates",Children's,Catan,5.722,27766,4,30,"Dice Rolling,Hand Management,Memory,Route/Network Building,Trading",6,3,30,329,30,Catan Junior,boardgame,329,2007
6.25,5.72173,Abstract Strategy,"Abstract, Family",,5.722,22465,4,5,"Pattern Building,Pattern Recognition",10,2,5,434,5,On the Dot,boardgame,434,2006
7.45,5.72171,"Miniatures,Science Fiction,Wargame",Wargames,,5.722,5686,4,120,"Dice Rolling,Variable Phase Order",12,2,120,136,120,Stargrunt II,boardgame,136,1996
7.97,5.72158,"Napoleonic,Wargame",Wargames,The Library of Napoleonic Battles,5.722,67199,2,0,"Campaign / Battle Card Driven,Dice Rolling,Hex-and-Counter,Simulation",0,2,0,100,0,The Coming Storm,boardgame,100,2010
6.95,5.72157,"Ancient,City Building",Uncategorized,,5.722,207330,4,60,"Route/Network Building,Variable Phase Order,Worker Placement",10,2,45,172,60,Hellas,boardgame,172,2016
8.25,5.72156,Sports,Thematic,Sports: Baseball,5.722,141067,2,30,Dice Rolling,0,1,30,98,30,History Maker Baseball,boardgame,98,2013
6.68,5.72155,"Adventure,Card Game,Comic Book / Strip","Family, Strategy",,5.722,148231,4,40,"Area Control / Area Influence,Hand Management,Modular Board,Partnerships",10,2,20,229,40,Corto,boardgame,229,2013
6.40,5.72126,"Bluffing,Card Game,Fighting,Humor,Mafia,Negotiation,Party Game",Party,Ca$h 'n Gun$,5.721,30324,20,0,"Acting,Player Elimination,Simultaneous Action Selection,Variable Player Powers",10,8,0,311,0,Ca$h 'n Gun$: Live,boardgame,311,2007
7.19,5.72125,Abstract Strategy,Abstract,Connection Games,5.721,2759,2,30,Pattern Building,10,2,30,159,30,Havannah,boardgame,159,1981
7.56,5.72123,Action / Dexterity,Uncategorized,Admin: Better Description Needed!,5.721,165595,4,30,,6,2,30,119,30,JamSumo,boardgame,119,2014
6.08,5.72113,Card Game,"Family, Party","Animals: Donkeys,Climbing Games",5.721,11104,12,30,Hand Management,8,3,30,572,30,Who's the Ass?,boardgame,572,2004
7.88,5.7211,"Wargame,World War II",Wargames,"Block wargames,Blocks Series",5.721,129204,4,120,"Dice Rolling,Hex-and-Counter,Simulation",14,1,120,134,120,Blocks in the East,boardgame,134,2012
6.28,5.72108,"Animals,Bluffing",Family,Animals: Bees,5.721,71272,5,45,"Area Control / Area Influence,Modular Board,Simultaneous Action Selection,Take That",10,2,45,481,45,Hornet,boardgame,481,2010
8.02,5.72107,"Napoleonic,Negotiation,Political,Post-Napoleonic,Print & Play",Thematic,,5.721,35423,6,180,"Simulation,Variable Player Powers,Voting",12,3,180,95,180,Founding Fathers,boardgame,95,2007
6.43,5.72087,Card Game,Family,Goldsieber à la Carte,5.721,853,6,30,Simultaneous Action Selection,10,4,30,293,30,...und tschüss!,boardgame,293,1997
6.66,5.72081,"Animals,Nautical,Novel-based,Religious","Family, Strategy","Bible Games,Noah",5.721,129382,4,45,"Area Control / Area Influence,Area Enclosure,Variable Phase Order,Worker Placement",8,2,45,223,45,Ark & Noah,boardgame,223,2012
6.45,5.7205,"Collectible Components,Fantasy,Fighting,Horror,Miniatures,Movies / TV / Radio theme",Customizable,"Aliens,Clix,CMGs (Collectible Miniatures Games),Monsters",5.721,22479,0,60,"Action Point Allowance System,Dice Rolling,Variable Player Powers",12,2,60,369,60,HorrorClix,boardgame,369,2006
6.67,5.72048,"Card Game,Fantasy,Fighting,Medieval,Party Game",Uncategorized,"Crowdfunding: Kickstarter,Monsters",5.720,194196,4,30,"Action / Movement Programming,Hand Management,Variable Player Powers",7,2,20,256,30,Kharnage,boardgame,256,2016
5.95,5.7201,"Animals,Card Game,Children's Game",Family,"Animals: Sheep,Fantasy Flight Games Toys",5.720,36739,4,30,"Hand Management,Set Collection",8,2,30,997,30,Black Sheep,boardgame,997,2008
6.48,5.71999,"Environmental,Exploration,Sports,Transportation",Uncategorized,Sports: Mountain climbing,5.720,147624,5,90,"Deck / Pool Building,Hand Management,Pick-up and Deliver,Simultaneous Action Selection",10,2,90,287,90,Mount Everest,boardgame,287,2013
8.11,5.71992,"American Civil War,Civil War,Wargame",Wargames,Line of Battle Series,5.720,62922,2,60,"Dice Rolling,Hex-and-Counter",15,2,60,99,60,None But Heroes,boardgame,99,2011
6.51,5.71983,Word Game,Family,,5.720,39635,5,30,,9,1,30,261,30,Prolix,boardgame,261,2010
7.32,5.71971,Fantasy,Strategy,"Admin: Unreleased Games,Crowdfunding: Kickstarter",5.720,193668,5,100,"Co-operative Play,Deck / Pool Building,Dice Rolling",12,2,40,166,100,The Red Dragon Inn: Battle for Greyport,boardgame,166,2016
6.95,5.71946,"Napoleonic,Wargame",Wargames,"Campaigns of Napoleon System: 1x Series,Country: France",5.719,4086,2,180,Hex-and-Counter,12,2,180,191,180,Napoleon at Bay: The Campaign in France,boardgame,191,1978
6.45,5.71941,"Aviation / Flight,Card Game,Wargame,World War II",Wargames,Lightning Series,5.719,11705,2,30,Hand Management,9,2,30,303,30,"Lightning: Midway – June 4th to June 6th, 1942",boardgame,303,2004
7.59,5.71938,"Modern Warfare,Wargame",Wargames,,5.719,6431,2,120,"Action Point Allowance System,Hex-and-Counter,Simulation",12,2,120,126,120,Air & Armor,boardgame,126,1986
7.99,5.71917,"American Civil War,Wargame",Wargames,Regimental Sub-Series,5.719,12134,6,360,"Dice Rolling,Hex-and-Counter",14,2,360,104,360,This Hallowed Ground,boardgame,104,1998
7.87,5.71917,"Wargame,World War II",Wargames,GMT East Front Series,5.719,1583,4,120,Hex-and-Counter,12,1,120,109,120,"Barbarossa: Army Group Center, 1941",boardgame,109,1998
6.03,5.71905,"Card Game,Fantasy",Family,,5.719,2542,5,45,,10,3,45,734,45,Gargon,boardgame,734,2001
7.35,5.71902,"Aviation / Flight,Korean War,Modern Warfare,Vietnam War,Wargame",Wargames,Air Power,5.719,7251,2,150,"Hex-and-Counter,Variable Phase Order",12,2,150,148,150,The Speed of Heat,boardgame,148,1992
6.92,5.71902,"City Building,Medieval",Uncategorized,,5.719,159910,4,30,Tile Placement,10,2,30,173,30,The King of Frontier,boardgame,173,2013
6.41,5.71898,Card Game,"Abstract, Family","Card Games: Outplay Games,Traditional Card Games",5.719,13337,4,60,"Partnerships,Trick-taking",12,2,60,321,60,Whist,boardgame,321,1663
6.74,5.71897,"City Building,Exploration,Fantasy,Fighting",Strategy,"Animals: Dragons,Crowdfunding: Kickstarter",5.719,87200,4,120,"Area Movement,Chit-Pull System,Tile Placement",12,2,120,214,120,Dragon Valley,boardgame,214,2012
7.09,5.71886,"Abstract Strategy,Ancient",Uncategorized,,5.719,193693,2,30,Area Control / Area Influence,12,2,20,156,30,Agamemnon,boardgame,156,2016
6.80,5.71882,"Bluffing,Card Game,Deduction,Horror,Murder/Mystery,Negotiation,Party Game",Uncategorized,Werewolf / Mafia,5.719,67148,34,45,"Partnerships,Role Playing,Variable Player Powers,Voting",8,5,45,197,45,Ultimate Werewolf: Compact Edition,boardgame,197,2010
6.76,5.71878,Abstract Strategy,Abstract,"Camelot,Combinatorial,The Legend of King Arthur and the Knights of the Round Table",5.719,5251,2,15,Grid Movement,8,2,15,236,15,Camelot,boardgame,236,1930
7.64,5.71846,"Card Game,Fantasy",Uncategorized,"Anime & Manga,Heart of Crown",5.718,131904,4,30,"Card Drafting,Deck / Pool Building,Hand Management,Variable Player Powers",12,2,30,121,30,Heart of Crown,boardgame,121,2011
5.92,5.71839,"Fantasy,Fighting,Novel-based","Family, Strategy","3D Games,Kosmos two-player series,Tolkien Games",5.718,4610,2,45,Hand Management,10,2,45,1172,45,Lord of the Rings: The Duel,boardgame,1172,2002
6.45,5.71826,"Economic,Industry / Manufacturing",Uncategorized,"Admin: Better Description Needed!,Ystari originals",5.718,66076,4,75,Auction/Bidding,10,3,75,305,75,Industry,boardgame,305,2010
6.66,5.71821,"Fantasy,Medieval",Strategy,Country: England,5.718,30878,2,45,Area Control / Area Influence,12,2,45,215,45,Power & Weakness,boardgame,215,2007
7.66,5.71779,"Deduction,Murder/Mystery,Novel-based,Print & Play",Thematic,Cthulhu Mythos,5.718,138963,10,120,"Co-operative Play,Role Playing,Storytelling",12,1,120,117,120,Arkham Investigator,boardgame,117,2013
6.52,5.71776,"Racing,Science Fiction","Strategy, Thematic",Sci-Fi Sports,5.718,19727,6,180,"Action / Movement Programming,Simultaneous Action Selection,Variable Player Powers",10,3,120,306,180,The Great Space Race,boardgame,306,2006
6.83,5.71771,"Wargame,World War II",Wargames,"Country: Egypt,Country: Libya,Standard Combat Series",5.718,5699,2,720,Hex-and-Counter,12,2,180,201,720,"Afrika: The Northern African Campaign, 1940-1942 (1st edition)",boardgame,201,1993
6.85,5.7177,"Ancient,City Building,Economic,Nautical,Transportation",Uncategorized,,5.718,191986,5,90,"Action / Movement Programming,Pick-up and Deliver,Tile Placement,Variable Phase Order,Worker Placement",10,2,60,203,90,Rhodes,boardgame,203,2016
6.72,5.71766,"Miniatures,Science Fiction",Thematic,"Admin: Better Description Needed!,Warhammer 40,000 Board Games",5.718,176817,4,0,"Co-operative Play,Dice Rolling,Variable Player Powers",12,1,60,240,0,Assassinorum: Execution Force,boardgame,240,2015
7.14,5.71733,"Nautical,Wargame,World War II",Wargames,"Arctic Theme,Block wargames",5.717,26459,2,210,"Dice Rolling,Hex-and-Counter,Secret Unit Deployment,Simulation",0,2,210,165,210,PQ-17: Arctic Naval Operations 1941-43,boardgame,165,2009
6.16,5.71732,"American West,Wargame",Thematic,,5.717,17465,10,60,"Action Point Allowance System,Dice Rolling,Grid Movement,Modular Board",8,2,60,482,60,Cowboys: The Way of the Gun,boardgame,482,2007
8.27,5.71728,"Wargame,World War II",Wargames,Country: Russia,5.717,171278,2,0,"Dice Rolling,Hex-and-Counter,Simulation",12,2,0,85,0,Victory Roads,boardgame,85,2015
6.63,5.71726,"Action / Dexterity,Card Game,Party Game,Video Game Theme",Uncategorized,Jungle Speed Series,5.717,56294,10,15,Pattern Recognition,8,2,15,245,15,Jungle Speed: Rabbids,boardgame,245,2008
6.44,5.71724,Abstract Strategy,Abstract,,5.717,103877,4,45,"Pattern Building,Roll / Spin and Move",8,2,30,286,45,Casa Grande,boardgame,286,2011
6.56,5.71722,"Children's Game,Deduction,Dice,Memory",Children's,"Animals: Crows,HABA Mitbringspiele series,HABA Obstgarten (Orchard) series",5.717,17162,4,15,"Co-operative Play,Memory",3,1,15,246,15,The Little Orchard,boardgame,246,2004
7.14,5.7172,"Card Game,Fantasy,Fighting",Uncategorized,Lords of War,5.717,144988,8,30,"Hand Management,Player Elimination,Variable Player Powers",12,2,30,176,30,Lords of War:  Elves versus Lizardmen,boardgame,176,2013
6.09,5.71694,"Ancient,Dice,Party Game",Party,"Asian Theme,Country: Japan,Crowdfunding: Kickstarter,Ninja",5.717,136587,5,30,"Dice Rolling,Press Your Luck",9,2,30,684,30,Ninja Dice,boardgame,684,2013
6.37,5.71686,"Card Game,Collectible Components,Horror",Customizable,CCGs (Collectible Card Games),5.717,17526,4,30,Hand Management,15,2,30,356,30,Hecatomb,boardgame,356,2005
5.93,5.71681,"Card Game,Horror,Zombies",Thematic,Crowdfunding: Kickstarter,5.717,76247,4,30,"Card Drafting,Deck / Pool Building,Hand Management",8,2,30,1071,30,Eaten by Zombies!,boardgame,1071,2011
6.43,5.7168,"Ancient,Civilization",Uncategorized,Country: Mexico,5.717,124490,4,60,"Area Control / Area Influence,Simultaneous Action Selection",13,2,60,317,60,Aztlán,boardgame,317,2012
6.57,5.71658,"Bluffing,Educational,Trivia",Uncategorized,Ausgerechnet ...,5.717,26156,6,20,Card Drafting,10,2,20,247,20,Ausgerechnet Uppsala,boardgame,247,2006
7.20,5.71658,"Fantasy,Video Game Theme",Strategy,Crowdfunding: Kickstarter,5.717,145493,7,240,"Action Point Allowance System,Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Route/Network Building,Variable Player Powers",13,1,30,205,240,The King's Armory,boardgame,205,2015
6.79,5.71658,"Wargame,World War II",Wargames,Tank Leader series,5.717,6226,2,90,"Campaign / Battle Card Driven,Hex-and-Counter",12,2,90,195,90,Eastern Front Tank Leader,boardgame,195,1986
7.11,5.71649,Abstract Strategy,Abstract,"Combinatorial,Computer-generated games,n in a row",5.716,33767,3,10,Pattern Building,0,2,10,163,10,Yavalath,boardgame,163,2007
6.39,5.71648,Dice,Family,Schmidt Spiele Easy Play Line,5.716,38387,2,15,"Dice Rolling,Set Collection",8,2,15,311,15,Los Banditos,boardgame,311,2008
8.07,5.71644,"Modern Warfare,Wargame",Wargames,Lock 'n Load,5.716,42731,2,90,"Hex-and-Counter,Modular Board",12,2,90,110,90,Lock 'n Load: Heroes of the Gap,boardgame,110,2011
6.23,5.71627,"Aviation / Flight,Fantasy,Transportation",Thematic,Steampunk,5.716,121958,5,180,"Area Movement,Commodity Speculation,Dice Rolling,Modular Board,Pick-up and Deliver",14,2,180,520,180,Sky Traders,boardgame,520,2012
6.60,5.71622,"Card Game,Educational,Political,Religious",Uncategorized,Stronghold Games: The Great Designer Series,5.716,200834,2,45,"Area Control / Area Influence,Card Drafting,Simulation",12,2,45,230,45,Sola Fide: The Reformation,boardgame,230,2016
