category,geek_rate,classificationtype,minage,avg_rate,family,title,minplayers,playingtime,yearpublished,usersrated,maxplayers,page,itemnumber,bayesaverage,mechanism,num_votes,maxplaytime,type,id,minplaytime
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,6.89,Advanced Squad Leader,From the Cellar: Pack 2,2,0,2007,9,2,20,18,0,"Dice Rolling,Modular Board,Simulation",9,0,boardgameexpansion/boargame,35236,0
"Ancient,Miniatures,Racing",N/A,,0,N/A,Ancient Rome,Have Chariot Will Race,2,45,2001,0,8,20,20,0,"Area Movement,Dice Rolling,Modular Board,Roll / Spin and Move",N/A,45,boardgameexpansion/boargame,35269,45
"Economic,Expansion for Base-game,Miniatures,Negotiation,Political,Wargame,World War II",5.648,wargames,0,7.02,,Attack! Deluxe Expansion,2,240,2009,122,6,20,21,5.64795,"Area Movement,Auction/Bidding,Dice Rolling,Hand Management,Player Elimination,Point to Point Movement,Set Collection,Trading",122,240,boardgameexpansion/boargame,35276,240
"Animals,Expansion for Base-game,Maze,Memory",5.705,familygames,8,7.07,Animals: Mice,Cheesy Gonzola,2,30,2008,146,5,20,22,5.70498,"Action Point Allowance System,Memory",146,30,boardgameexpansion/boargame,35339,30
"Expansion for Base-game,Party Game,Print & Play,Trivia",N/A,,0,7.15,Smarty Party!,Smarty Party! Gamers' Expansion,3,45,2008,13,8,20,23,0,,13,45,boardgameexpansion/boargame,35374,45
"Expansion for Base-game,Racing",N/A,,0,6,Car Wars,Car Wars Deluxe Road Sections Set 1: Starter Set,0,0,1985,10,0,20,25,0,,10,0,boardgameexpansion/boargame,35387,0
"Expansion for Base-game,Wargame,World War II",N/A,wargames,12,7.09,"Cities: St Petersburg / Petrograd / Leningrad,Panzer Grenadier",Panzer Grenadier: Siege of Leningrad,2,30,2008,14,2,20,27,0,"Hex-and-Counter,Modular Board",14,30,boardgameexpansion/boargame,35415,30
"Game System,Print & Play",N/A,,0,7.33,,Hexpack,0,0,2008,3,0,20,29,0,,3,0,boardgameexpansion/boargame,35424,0
"Bluffing,Card Game,Expansion for Base-game,Farming,Negotiation",5.543,,0,6.24,Bohnanza,Bohnanza: Spiderbeans,3,45,2007,55,5,20,31,5.54272,"Hand Management,Set Collection,Trading",55,45,boardgameexpansion/boargame,35428,45
"Expansion for Base-game,Wargame",5.677,wargames,14,8.17,"Lock 'n Load,World War 2: Battle of the Bulge",Lock 'n Load: Noville – Bastogne's Outpost,2,60,2009,81,2,20,33,5.67653,Hex-and-Counter,81,60,boardgameexpansion/boargame,35462,60
"Book,Expansion for Base-game,Fantasy,Miniatures,Wargame",5.569,wargames,0,7.74,Warmachine,Warmachine: Legends,2,0,2008,46,12,20,34,5.56875,Variable Player Powers,46,0,boardgameexpansion/boargame,35484,0
"Card Game,Expansion for Base-game,Music",N/A,,0,6.18,,Taktvoll Bass-Schlüssel,3,30,1994,5,8,20,36,0,Tile Placement,5,30,boardgameexpansion/boargame,35530,30
"Card Game,Expansion for Base-game,Farming,Negotiation",N/A,,12,6.23,"Bohnanza,Lookout Bean Games",Auf der schwäb'schen Eisenbohn,3,60,2008,28,5,20,38,0,"Hand Management,Set Collection,Trading",28,60,boardgameexpansion/boargame,35589,60
"Expansion for Base-game,Wargame,World War II",5.577,wargames,0,7.79,"Arctic Theme,Country: Finland,Panzer Grenadier",Panzer Grenadier: Arctic Front Deluxe Edition,2,120,2008,32,2,20,40,5.57685,"Hex-and-Counter,Simulation",32,120,boardgameexpansion/boargame,35609,120
"Expansion for Base-game,Miniatures,Science Fiction,Wargame",5.565,wargames,0,7.06,BattleTech,BattleTech: Reinforcements,2,0,1985,42,20,20,42,5.56544,Hex-and-Counter,42,0,boardgameexpansion/boargame,35653,0
"City Building,Expansion for Base-game,Medieval",6.079,"strategygames,familygames",0,6.79,Carcassonne,"Carcassonne: Cult, Siege and Creativity",2,60,2008,880,6,20,43,6.07885,"Area Control / Area Influence,Tile Placement",880,60,boardgameexpansion/boargame,35666,60
"Action / Dexterity,Medieval,Miniatures",N/A,,0,5.67,Weapons & Warriors,Weapons & Warriors: Weapon Pack 2,2,20,1995,6,2,20,44,0,,6,20,boardgameexpansion/boargame,35699,20
"Adventure,Deduction,Expansion for Base-game,Medieval,Mythology",6.842,thematic,10,7.42,"The Legend of King Arthur and the Knights of the Round Table,Shadows over Camelot",Shadows over Camelot: Merlin's Company,3,90,2008,2455,8,20,45,6.84233,"Hand Management,Variable Player Powers",2457,90,boardgameexpansion/boargame,35704,60
"Children's Game,Expansion for Base-game,Math,Trivia",N/A,childrensgames,0,N/A,,McWiz Junior Booster Bus: The Bus of Knowledge in Math,0,0,2007,0,0,20,46,0,,N/A,0,boardgameexpansion/boargame,35718,0
"Dice,Fantasy",N/A,,0,5,,Elementalis: Guardians and Luminaries,2,30,2008,1,5,20,47,0,"Dice Rolling,Variable Player Powers",1,30,boardgameexpansion/boargame,35724,30
"Expansion for Base-game,Wargame,World War II",5.627,wargames,12,7.92,"Lock 'n Load,Lock 'n Load Tactical",Lock 'n Load Tactical: Dark July - The Battle of Prokhorovka,2,280,2008,62,2,20,49,5.62743,Hex-and-Counter,62,280,boardgameexpansion/boargame,35767,90
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,6.5,Advanced Squad Leader,Spanish Fury: Hell on the Eastern Front,2,180,2008,9,2,20,51,0,Hex-and-Counter,9,180,boardgameexpansion/boargame,35787,180
"Age of Reason,American Revolutionary War,Expansion for Base-game,Miniatures,Wargame",N/A,wargames,0,7.5,,American War of Independence Scenarios 2,2,180,2008,3,6,20,53,0,Simulation,3,180,boardgameexpansion/boargame,35817,180
"Civil War,Expansion for Base-game,Miniatures,Wargame,World War I",N/A,wargames,0,7,,"Proletarians, To Horse!",2,120,1998,1,8,20,55,0,"Area Movement,Simulation",1,120,boardgameexpansion/boargame,35819,120
"Miniatures,Nautical,Wargame",N/A,wargames,0,8,The Sword and the Flame,Boilers and Breechloaders,2,180,2005,1,6,20,57,0,Simulation,1,180,boardgameexpansion/boargame,35823,180
"Expansion for Base-game,Miniatures",N/A,,0,N/A,The Sword and the Flame,The Sword in North Africa,2,180,2002,0,6,20,58,0,Simulation,N/A,180,boardgameexpansion/boargame,35824,180
"Expansion for Base-game,Miniatures,Napoleonic,Wargame",N/A,wargames,0,8,,Napoleonic Scenarios Volume 3: The Glory Years 1800-1809,2,180,2006,1,4,20,60,0,Simulation,1,180,boardgameexpansion/boargame,35828,180
"Dice,Expansion for Base-game,Science Fiction,Wargame",N/A,wargames,0,6.81,Risk,Risk 2210 A.D.: Mission Pack,2,0,2008,8,5,20,62,0,"Area Control / Area Influence,Area Movement,Auction/Bidding,Dice Rolling,Variable Phase Order",8,0,boardgameexpansion/boargame,35890,0
"Dice,Expansion for Base-game,Science Fiction,Territory Building,Wargame",N/A,wargames,0,7.11,Risk,Risk 2210 A.D.: Aerial Assault Command Deck,2,0,2008,9,5,20,63,0,"Area Control / Area Influence,Area Movement,Auction/Bidding,Dice Rolling,Variable Phase Order",9,0,boardgameexpansion/boargame,35891,0
"Ancient,Card Game,Expansion for Base-game,Fighting,Print & Play",N/A,,0,N/A,"Ancient Rome,Gladiators",Gladiator School,2,0,2000,0,2,20,65,0,"Auction/Bidding,Dice Rolling",N/A,0,boardgameexpansion/boargame,36034,0
"Animals,Expansion for Base-game,Print & Play",N/A,,0,N/A,Solitaire Games,Eskimo Expansion,1,0,2005,0,1,20,67,0,Roll / Spin and Move,N/A,0,boardgameexpansion/boargame,36084,0
"Abstract Strategy,Expansion for Base-game,Print & Play",N/A,abstracts,0,6.75,,Dragon Checkers,2,30,2007,2,6,20,68,0,,2,30,boardgameexpansion/boargame,36189,30
"Civil War,Expansion for Base-game,Wargame",5.572,wargames,0,7.02,"Country: Spain,Spanish Civil War",España 1936: La Armada,2,180,2008,57,2,20,70,5.57215,"Area Movement,Campaign / Battle Card Driven",57,180,boardgameexpansion/boargame,36285,180
"Expansion for Base-game,Medieval,Miniatures,Wargame",N/A,wargames,0,7.04,Field of Glory,Field of Glory Companion 4: Swords and Scimitars,2,180,2008,16,4,20,72,0,Dice Rolling,16,180,boardgameexpansion/boargame,36312,180
"Ancient,Expansion for Base-game,Miniatures,Wargame",N/A,wargames,0,6.57,"Ancient Rome,Field of Glory",Field of Glory Companion 5: Legions Triumphant,2,180,2008,21,4,20,73,0,Dice Rolling,21,180,boardgameexpansion/boargame,36313,180
"Adventure,Fantasy",N/A,,0,6,Solitaire Games,Midgard Erweiterung 1: Das Solospiel,1,0,2008,3,1,20,75,0,"Action Point Allowance System,Co-operative Play,Modular Board,Role Playing",3,0,boardgameexpansion/boargame,36329,0
"Ancient,Expansion for Base-game,Wargame",N/A,wargames,0,7.31,"Great Battles of History,Magazine: C3i",The Battle of the Tagus River,2,240,2006,12,2,20,77,0,Hex-and-Counter,12,240,boardgameexpansion/boargame,36341,240
"Economic,Expansion for Base-game,Print & Play,Trains,Transportation",5.702,strategygames,0,7.46,"Age of Steam,Country: Scotland",Age of Steam Expansion: Scotland,2,90,2006,104,2,20,78,5.70166,"Pick-up and Deliver,Tile Placement",104,90,boardgameexpansion/boargame,36377,90
"Book,Expansion for Base-game,Miniatures,Wargame",N/A,wargames,0,8.18,DBx,DBMM Army Lists Book 3: 476 AD to 1071 AD,2,180,2007,11,2,20,80,0,"Dice Rolling,Simulation",11,180,boardgameexpansion/boargame,36397,180
"Expansion for Base-game,Fighting,Miniatures,Science Fiction,Wargame",N/A,wargames,0,6.45,BattleTech,Classic Battletech: Dawn of the Jihad,2,0,2005,11,8,20,82,0,"Dice Rolling,Hex-and-Counter,Role Playing,Variable Player Powers",11,0,boardgameexpansion/boargame,36416,0
"Expansion for Base-game,Movies / TV / Radio theme,Science Fiction,Wargame",N/A,wargames,12,7.36,"Star Fleet Battles,Star Fleet Universe,Star Trek",Star Fleet Battles: Module Y2 – Early Years II,2,180,2008,19,12,20,84,0,"Dice Rolling,Hex-and-Counter,Simulation,Simultaneous Action Selection",19,180,boardgameexpansion/boargame,36420,180
"Expansion for Base-game,Trains,Transportation",5.572,,0,7.36,"Age of Steam,Country: Mexico,Winsome Essen Sets","Age of Steam Expansion: Texas, Oklahoma & New Mexico",3,120,2008,35,6,20,85,5.57227,"Auction/Bidding,Pick-up and Deliver,Tile Placement,Variable Phase Order",35,120,boardgameexpansion/boargame,36481,120
"Economic,Expansion for Base-game,Farming",5.7,,10,7.27,"BoardGameGeek Promo Offerings,Country: Cuba,Eggertspiele Cuba series,Spielbox",Cuba: Spielecafé,2,120,2008,125,5,20,87,5.69975,"Auction/Bidding,Hand Management,Variable Phase Order,Worker Placement",125,120,boardgameexpansion/boargame,36521,120
"Adventure,Expansion for Base-game,Fantasy",N/A,,0,6.83,,Arcanum: Call to Adventure,1,120,2007,3,6,20,89,0,Modular Board,3,120,boardgameexpansion/boargame,36583,120
"Expansion for Base-game,Wargame,World War II",N/A,wargames,12,7.49,Panzer Grenadier,Panzer Grenadier: Secret Weapons,2,30,2008,26,2,20,91,0,Hex-and-Counter,26,30,boardgameexpansion/boargame,36617,30
"Card Game,Expansion for Base-game,Pirates",N/A,,0,6.92,,Shanghaien: Extrakarte 2,2,20,2008,9,2,20,92,0,"Dice Rolling,Set Collection",9,20,boardgameexpansion/boargame,36710,20
"Adventure,Dice,Expansion for Base-game,Exploration,Fantasy,Miniatures",6.72,thematic,12,7.87,"Descent,The Realms of Terrinoth",Descent: The Tomb of Ice,2,240,2008,1123,5,20,94,6.71965,"Dice Rolling,Modular Board,Partnerships,Role Playing,Variable Player Powers",1123,240,boardgameexpansion/boargame,36722,240
"Expansion for Base-game,Fantasy,Wargame",N/A,wargames,0,7.2,,BattleLands of Titan,2,240,1981,5,6,20,96,0,"Dice Rolling,Roll / Spin and Move,Secret Unit Deployment",5,240,boardgameexpansion/boargame,36753,240
"Expansion for Base-game,Science Fiction,Wargame",N/A,wargames,0,6.52,"Star Fleet Battles,Star Fleet Universe,Star Trek",Star Fleet Battles Supplement #3: Fast Patrol Ships,1,120,1985,13,0,20,98,0,"Hex-and-Counter,Simultaneous Action Selection",13,120,boardgameexpansion/boargame,36772,120
"Book,Expansion for Base-game,Movies / TV / Radio theme,Science Fiction,Wargame",N/A,wargames,0,7.08,"Star Fleet Battles,Star Fleet Universe,Star Trek",Star Fleet Battles Commanders Rulebook Update I,1,0,1984,12,0,20,100,0,Hex-and-Counter,12,0,boardgameexpansion/boargame,36775,0
"Expansion for Base-game,Miniatures,Wargame,World War II",N/A,wargames,0,N/A,,Panzer Korps Campaigns,2,240,2008,0,8,21,3,0,"Secret Unit Deployment,Variable Phase Order",N/A,240,boardgameexpansion/boargame,36807,240
"Expansion for Base-game,Science Fiction,Wargame",N/A,wargames,0,7.28,Star Trek,Romulan Ship Recognition Manual,2,60,1985,24,2,21,4,0,"Hex-and-Counter,Paper-and-Pencil,Simultaneous Action Selection",24,60,boardgameexpansion/boargame,36877,60
"Expansion for Base-game,Science Fiction,Wargame",5.542,wargames,0,7.26,Star Trek,Klingon Ship Recognition Manual,2,60,1985,30,2,21,6,5.5421,"Hex-and-Counter,Paper-and-Pencil,Simultaneous Action Selection",30,60,boardgameexpansion/boargame,36882,60
"Expansion for Base-game,Trivia",N/A,,0,7.17,,Not Tonight Josephine Expansion Pack,1,0,2007,3,7,21,8,0,Roll / Spin and Move,3,0,boardgameexpansion/boargame,36904,0
"Arabian,Book,Dice,Expansion for Base-game,Exploration,Fighting,Miniatures,Wargame",N/A,wargames,0,N/A,,Bajo el Sol de África: El Libro de los Ejércitos,2,120,2008,0,10,21,10,0,"Dice Rolling,Point to Point Movement,Simulation",N/A,120,boardgameexpansion/boargame,36927,120
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.82,Advanced Tobruk System,ATS Warfighting Guide #2,0,0,2008,14,0,21,12,0,"Dice Rolling,Simulation",14,0,boardgameexpansion/boargame,36975,0
"Expansion for Base-game,Fighting,Science Fiction,Wargame",N/A,wargames,0,6.5,,Star Strike Vessel Compendium #3: Imperial Ships,2,0,1989,2,0,21,13,0,Hex-and-Counter,2,0,boardgameexpansion/boargame,36976,0
"Expansion for Base-game,Fighting,Science Fiction,Wargame",N/A,wargames,0,7,,Star Strike Vessel Compendium #1: Adventurer Class,2,0,1989,1,0,21,15,0,Hex-and-Counter,1,0,boardgameexpansion/boargame,36978,0
"Card Game,Expansion for Base-game,Nautical",5.779,partygames,12,6.6,,Lifeboat Expansion #1: Cannibalism,4,45,2008,342,7,21,17,5.779,,342,45,boardgameexpansion/boargame,37036,45
"Dice,Expansion for Base-game,Fantasy,Maze,Racing",N/A,,0,6.55,VCR Board Games,Atmosfear: Booster Game Tape Set,3,0,1995,10,6,21,18,0,Modular Board,10,0,boardgameexpansion/boargame,37070,0
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.56,"Advanced Squad Leader,Advanced Squad Leader Starter Kit",Rally Point Volume 2: Advanced Squad Leader Starter Kit Special Study,2,75,2007,24,2,21,20,0,"Dice Rolling,Hex-and-Counter",24,75,boardgameexpansion/boargame,37185,75
"Expansion for Base-game,Sports",5.607,,0,7.64,Sports: Football / Soccer,The World Cup Game:  Expansion Set 4,2,90,2008,49,12,21,22,5.60722,"Card Drafting,Hand Management",49,90,boardgameexpansion/boargame,37190,90
"Economic,Expansion for Base-game,Farming",6.088,strategygames,0,6.72,Agricola,Agricola Z-Deck,1,120,2008,947,5,21,23,6.08793,Worker Placement,948,120,boardgameexpansion/boargame,37235,120
"Card Game,Expansion for Base-game,Sports",N/A,,0,6.17,Fantasy Sports,Phantoms of the Ice Sonderspieler,2,30,1996,6,10,21,25,0,Trading,6,30,boardgameexpansion/boargame,37298,30
"Adventure,Expansion for Base-game,Fantasy,Fighting,Miniatures,Science Fiction",5.737,,0,7.92,Heroscape,Heroscape: Skahen's Rescue,2,60,2008,111,8,21,27,5.73703,"Dice Rolling,Modular Board",111,60,boardgameexpansion/boargame,37303,60
"Expansion for Base-game,Trains,Transportation",N/A,strategygames,0,7.35,"Age of Steam,Cities: Essen",Age of Steam Expansion: Special 2008 Spiel Limited Edition – Essen Spiel & Secret Blueprints of Steam Plan #3,3,45,2008,20,6,21,29,0,"Auction/Bidding,Commodity Speculation,Pick-up and Deliver,Route/Network Building,Tile Placement",20,45,boardgameexpansion/boargame,37325,45
"Expansion for Base-game,Trains,Transportation",5.537,strategygames,10,6.53,Age of Steam,Age of Steam Expansion: Secret Blueprints of Steam Plans 1 & 2,3,45,2008,35,4,21,30,5.53722,"Auction/Bidding,Commodity Speculation,Pick-up and Deliver,Route/Network Building,Tile Placement",35,45,boardgameexpansion/boargame,37326,45
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.7,World in Flames,Commandoes in Flames,0,0,2008,10,0,21,32,0,"Hex-and-Counter,Simulation",10,0,boardgameexpansion/boargame,37361,0
"Expansion for Base-game,Trains,Transportation",5.571,,0,7.26,"Age of Steam,Country: Chile,Country: Egypt","Age of Steam Expansion: Chile, Egypt and CCCP",3,120,2008,39,6,21,33,5.57085,"Commodity Speculation,Pick-up and Deliver,Route/Network Building,Tile Placement",39,120,boardgameexpansion/boargame,37388,120
"Card Game,Expansion for Base-game,Wargame,World War II",N/A,wargames,0,6.22,Up Front Series,Waffen SS/The Fanatics,2,60,0,4,0,21,35,0,"Campaign / Battle Card Driven,Hand Management",4,60,boardgameexpansion/boargame,37404,60
"Expansion for Base-game,Fighting,Horror,Miniatures,Zombies",N/A,,0,4.5,,New World Disorder: Zombie Apocalypse!,2,30,2008,2,4,21,37,0,"Action Point Allowance System,Dice Rolling",2,30,boardgameexpansion/boargame,37430,30
"Expansion for Base-game,Miniatures,Wargame,World War II",N/A,,0,6.92,,Finest Hour,2,0,2006,6,0,21,39,0,Campaign / Battle Card Driven,6,0,boardgameexpansion/boargame,37452,0
"Expansion for Base-game,Miniatures,Nautical,Wargame,World War II",N/A,wargames,0,7.07,Country: Solomon Islands,The Solomons Campaign,2,360,2008,7,6,21,41,0,"Simulation,Simultaneous Action Selection",7,360,boardgameexpansion/boargame,37482,360
"Expansion for Base-game,Miniatures,Science Fiction",5.537,,0,6.6,BattleTech,BattleTech: AeroTech 2,2,120,2004,30,0,21,42,5.53708,"Dice Rolling,Hex-and-Counter,Simulation,Variable Player Powers",30,120,boardgameexpansion/boargame,37494,120
"Card Game,Expansion for Base-game,Fantasy,Fighting,Humor",5.797,,10,6.56,Munchkin,Munchkin 7: More Good Cards,3,90,2008,487,6,21,43,5.79716,"Dice Rolling,Trading,Variable Player Powers",487,90,boardgameexpansion/boargame,37501,90
"Fantasy,Fighting,Horror",N/A,,0,N/A,,Lord of the Abyss,2,0,2004,0,9,21,44,0,Area Movement,N/A,0,boardgameexpansion/boargame,37503,0
"American Revolutionary War,Fighting",N/A,,0,N/A,,War of Independence,2,0,2002,0,2,21,46,0,Area Movement,N/A,0,boardgameexpansion/boargame,37505,0
"Fighting,Print & Play,Science Fiction",N/A,,0,N/A,,Space 1889 Empires,2,0,2004,0,0,21,48,0,Area Movement,N/A,0,boardgameexpansion/boargame,37507,0
"Fighting,Movies / TV / Radio theme,Science Fiction",N/A,,0,N/A,TV Series: Dr. Who,Doctor Who Empires,2,0,2004,0,0,21,50,0,,N/A,0,boardgameexpansion/boargame,37509,0
"Fighting,Movies / TV / Radio theme,Print & Play,Science Fiction",N/A,,0,1,Star Wars,Star Wars Campaign,2,0,2002,1,2,21,52,0,Area Movement,1,0,boardgameexpansion/boargame,37511,0
"Fantasy,Fighting,Print & Play",N/A,,0,N/A,,Conquest of Demara,2,0,2004,0,8,21,54,0,Area Movement,N/A,0,boardgameexpansion/boargame,37513,0
"Fantasy,Fighting,Movies / TV / Radio theme,Science Fiction",N/A,,0,N/A,,Scortch,2,0,2002,0,2,21,55,0,Area Movement,N/A,0,boardgameexpansion/boargame,37514,0
"Fantasy,Fighting",N/A,,0,N/A,,Empires of Mystara,2,0,2002,0,4,21,57,0,Area Movement,N/A,0,boardgameexpansion/boargame,37516,0
"Card Game,Fantasy,Fighting,Print & Play",N/A,,0,N/A,,Warp Hammer Empires,2,0,2002,0,0,21,59,0,Area Movement,N/A,0,boardgameexpansion/boargame,37518,0
"Card Game,Expansion for Base-game,Fantasy,Fighting,Print & Play",N/A,,0,N/A,,Warmeister 2: The Battle of Plentymore Field,2,0,2006,0,6,21,61,0,,N/A,0,boardgameexpansion/boargame,37530,0
"Expansion for Base-game,Fighting,Print & Play",N/A,,0,7.72,Risk,Euro Risk,2,60,2008,4,6,21,63,0,"Area Control / Area Influence,Set Collection",4,60,boardgameexpansion/boargame,37555,30
"Ancient,Expansion for Base-game,Wargame",5.565,wargames,0,7.52,"Ancient Battles Deluxe,Ancient Rome,Animals: Elephants,Country: Greece",Ancient Battles Deluxe Expansion Kit 1: Elephants at War,2,45,2008,31,2,21,64,5.56522,"Hex-and-Counter,Variable Phase Order",31,45,boardgameexpansion/boargame,37563,45
"Expansion for Base-game,Memory,Murder/Mystery,Novel-based",N/A,,0,7,Leonardo da Vinci,Da Vinci Code: Het Bordspel – 5 Nieuwe Mysteries,2,120,2006,5,6,21,66,0,"Memory,Roll / Spin and Move",5,120,boardgameexpansion/boargame,37585,120
Party Game,N/A,,0,5.78,,Qrazy Quandaries,3,20,0,7,8,21,68,0,,7,20,boardgameexpansion/boargame,37591,20
"Expansion for Base-game,Negotiation,Political",N/A,,0,7.43,"Junta,Magazine: Alea",Junta Expansion Cards,2,240,1994,6,7,21,71,0,"Area Movement,Simultaneous Action Selection,Variable Player Powers,Voting",6,240,boardgameexpansion/boargame,37613,240
"Adventure,Book,Expansion for Base-game,Racing,Science Fiction",N/A,,0,6.71,Car Wars,"Car Wars Supplement, Autoduel Quarterly",1,60,1983,28,12,21,73,0,"Dice Rolling,Modular Board,Role Playing,Simulation,Variable Player Powers",28,60,boardgameexpansion/boargame,37626,60
"Expansion for Base-game,Wargame",N/A,wargames,0,7.39,,The Napoleonic Wars 2008 Update Kit,2,0,2008,16,5,21,75,0,Campaign / Battle Card Driven,16,0,boardgameexpansion/boargame,37649,0
"Age of Reason,American Indian Wars,American Revolutionary War,Expansion for Base-game,Miniatures,Wargame",N/A,wargames,9,7.67,French and Indian War,Among the War Parties: Adventures in the Early Americas,2,60,2008,3,8,21,77,0,"Dice Rolling,Simulation,Storytelling",3,60,boardgameexpansion/boargame,37679,60
"Expansion for Base-game,Fantasy,Negotiation,Novel-based",5.545,,0,6.55,"Catan,Discworld Games",Die Siedler von Catan: Rincewind und der Tourist  /  Die Gilden von Ankh-Morpork,3,90,2008,40,6,21,79,5.54544,Trading,40,90,boardgameexpansion/boargame,37690,90
"Expansion for Base-game,Nautical,Science Fiction,Wargame,World War I",N/A,wargames,0,7.2,Starmada,Starmada: Dreadnoughts,2,120,2008,5,6,21,80,0,"Dice Rolling,Simultaneous Action Selection",5,120,boardgameexpansion/boargame,37703,120
"Card Game,Economic,Expansion for Base-game,Pirates",5.558,,10,7.13,"Catan,Die Siedler von Catan: Das Kartenspiel / Catan Card Game",De Kolonisten van Catan: Het Kaartspel – Goud & Piraten,2,90,2001,37,2,21,82,5.55765,"Card Drafting,Hand Management,Trading",37,90,boardgameexpansion/boargame,37774,90
"Expansion for Base-game,Fighting,Miniatures,Modern Warfare,Wargame",N/A,wargames,0,7,"Solitaire Games,Solitaire Wargames",Ambush Alley: Art of War,1,60,2008,2,2,21,84,0,Dice Rolling,2,60,boardgameexpansion/boargame,37890,60
"Age of Reason,American Indian Wars,Expansion for Base-game,Wargame",5.718,wargames,10,7.64,"Age of Kings,French and Indian War,Hold the Line",Hold the Line: French and Indian War Expansion Set,1,60,2008,106,2,21,86,5.71781,"Action Point Allowance System,Dice Rolling,Hex-and-Counter,Modular Board",106,60,boardgameexpansion/boargame,37900,60
"Expansion for Base-game,Wargame,World War II",6.024,wargames,10,7.54,"Commands & Colors,Memoir '44",Memoir '44: Hedgerow Hell,2,90,2008,342,8,21,88,6.02449,"Campaign / Battle Card Driven,Dice Rolling,Hand Management,Modular Board",342,90,boardgameexpansion/boargame,37918,60
"Expansion for Base-game,Fantasy,Medieval,Wargame",5.825,wargames,0,6.95,"BattleLore,Commands & Colors",BattleLore: For Troll and Country,2,120,2008,277,2,21,90,5.82521,"Campaign / Battle Card Driven,Dice Rolling,Hand Management,Modular Board,Variable Player Powers",277,120,boardgameexpansion/boargame,37926,120
"Economic,Expansion for Base-game,Industry / Manufacturing,Nautical,Transportation",5.894,strategygames,12,7.35,,Container: The Second Shipment,3,90,2008,271,5,21,91,5.89356,"Auction/Bidding,Commodity Speculation,Pick-up and Deliver,Stock Holding",271,90,boardgameexpansion/boargame,37935,90
"Card Game,Expansion for Base-game,Humor",5.633,,0,6.2,We Didn't Playtest This At All,We Didn't Playtest This At All: Chaos Pack,2,10,2008,262,10,21,93,5.63279,,262,10,boardgameexpansion/boargame,37974,10
"Expansion for Base-game,Nautical,Wargame,World War II",N/A,,12,7.19,,War in the Pacific Extension Kit,1,480,2008,9,6,21,94,0,"Dice Rolling,Hex-and-Counter",9,480,boardgameexpansion/boargame,37993,480
"Aviation / Flight,Card Game,Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.36,"Country: Poland,Down in Flames,Magazine: C3i",Down In Flames: Poland 1939,2,20,2006,11,0,21,95,0,Campaign / Battle Card Driven,11,20,boardgameexpansion/boargame,37999,20
"Expansion for Base-game,Fantasy,Medieval,Wargame",N/A,wargames,0,5.59,,Fiefs et Empires,2,180,1988,11,4,21,96,0,"Hex-and-Counter,Modular Board",11,180,boardgameexpansion/boargame,38002,180
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,6.5,Advanced Squad Leader,Hurtgen Surprise,1,0,2008,4,2,21,98,0,"Dice Rolling,Hex-and-Counter",4,0,boardgameexpansion/boargame,38061,0
"Expansion for Base-game,Wargame,World War II",N/A,wargames,0,6,"Advanced Squad Leader,World War 2: Battle of the Bulge",Sudden Full Contact: The Battle of the Bulge 1944,0,0,2004,1,0,21,99,0,"Dice Rolling,Hex-and-Counter",1,0,boardgameexpansion/boargame,38063,0
"Expansion for Base-game,Fighting,Science Fiction",6.478,strategygames,0,7.75,"From RPG books to board games,Neuroshima",Neuroshima Hex! Babel13,2,40,2008,776,6,22,1,6.4782,"Hand Management,Hex-and-Counter,Partnerships,Player Elimination,Tile Placement,Variable Player Powers",776,40,boardgameexpansion/boargame,38188,40
"Wargame,World War II",N/A,wargames,0,7.17,,Uncommon Valor,0,0,1999,6,0,22,2,0,"Dice Rolling,Hex-and-Counter",6,0,boardgameexpansion/boargame,38200,0
"Expansion for Base-game,Miniatures,Science Fiction,Wargame",N/A,wargames,0,7.5,,Wildfire Overkill,2,60,2008,2,6,22,3,0,Dice Rolling,2,60,boardgameexpansion/boargame,38207,60
"Aviation / Flight,Card Game,Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.56,"Cities: Dunkirk,Down in Flames,Magazine: C3i",Down in Flames: Air Umbrella Over Dunkirk,2,20,2005,9,0,22,4,0,Campaign / Battle Card Driven,9,20,boardgameexpansion/boargame,38208,20
"Aviation / Flight,Card Game,Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.1,"Country: Finland,Down in Flames,Magazine: C3i",Down In Flames: Winter War 1939-40,2,20,1995,10,0,22,5,0,Campaign / Battle Card Driven,10,20,boardgameexpansion/boargame,38209,20
"Card Game,Expansion for Base-game,Wargame,World War II",N/A,wargames,0,7.4,,Zero!: Java – Module,2,20,2002,5,0,22,7,0,Campaign / Battle Card Driven,5,20,boardgameexpansion/boargame,38211,20
